test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize,num_train
0.6723906216507719,0.6746323529411765,0.7345345273185526,0.8845164609053499,16,51_just_is,24,layer_24/width_16k/p_anneal,l1,False,103
0.6621839439940337,0.6625816993464052,0.7228670062796361,0.9151234567901235,128,51_just_is,24,layer_24/width_16k/p_anneal,l1,False,103
0.6223149414318376,0.6223747140777709,0.6693848782867086,1.0,16,52_virtue_is,24,layer_24/width_16k/jumprelu_32,l1,False,20
0.636118267940565,0.6363069245165315,0.685000916698088,1.0,128,52_virtue_is,24,layer_24/width_16k/jumprelu_32,l1,False,20
0.42869549150036956,0.5340729001584786,0.6838439726643242,0.6225961538461539,16,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/standard,l1,False,737
0.6456226103867995,0.6473851030110935,0.7139750000627888,0.7155448717948719,128,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/standard,l1,False,737
0.8478560476389861,0.8479579458147999,0.915324894219479,0.9916666666666667,16,6_hist_fig_isamerican,24,layer_24/width_16k/topk_32,l1,False,53
0.8990791666133382,0.8991103922361504,0.9510960999089396,1.0,128,6_hist_fig_isamerican,24,layer_24/width_16k/topk_32,l1,False,53
0.33375385134536834,0.4994994994994995,0.5428225640183753,1.0,16,50_deon_isvalid,24,layer_24/width_16k/standard,l1,False,4
0.4717635874868579,0.5415415415415415,0.6098015777459773,1.0,128,50_deon_isvalid,24,layer_24/width_16k/standard,l1,False,4
0.5446428571428571,0.5453431372549019,0.5641475033640907,0.7029320987654321,16,54_cs_tf,24,layer_24/width_16k/p_anneal,l1,False,103
0.5497547823082758,0.5498366013071896,0.5697778498654363,0.8405349794238682,128,54_cs_tf,24,layer_24/width_16k/p_anneal,l1,False,103
0.7078965721769281,0.708943911066195,0.8205104635842755,0.9583333333333334,16,63_wikidata_occupation_issinger,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,20
0.6502527737270136,0.6589186457806974,0.7188865398167724,0.9583333333333334,128,63_wikidata_occupation_issinger,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,20
0.3333333333333333,0.5,0.5,0.5,16,47_reasoning_tf,24,layer_24/width_16k/batch_topk_32,l1,False,143
0.5304601567131401,0.530564263322884,0.5373737237251992,0.8072916666666666,128,47_reasoning_tf,24,layer_24/width_16k/batch_topk_32,l1,False,143
0.48679401124701327,0.4989212513484358,0.5233792877931502,1.0,16,23_headline_ischina,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,3
0.44344226642646734,0.5194174757281553,0.5292676029786031,1.0,128,23_headline_ischina,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,3
0.4299874616743581,0.5048038430744596,0.5744459458679835,1.0,16,36_sciq_tf,24,layer_24/width_16k/standard,l1,False,3
0.3466304797094911,0.5012009607686149,0.5191977441040102,1.0,128,36_sciq_tf,24,layer_24/width_16k/standard,l1,False,3
0.7470998077530406,0.7473060344827587,0.8024016934824613,0.9897435897435898,16,60_wikidata_occupation_isathlete,24,layer_24/width_16k/batch_topk_32,l1,False,143
0.8005539136415175,0.8006465517241379,0.8814446157847801,0.9794871794871796,128,60_wikidata_occupation_isathlete,24,layer_24/width_16k/batch_topk_32,l1,False,143
0.7835624131880642,0.783676703645008,0.8395322495171551,0.7904647435897436,16,60_wikidata_occupation_isathlete,24,layer_24/width_16k/standard_new,l1,False,737
0.8628532302290008,0.8629160063391442,0.9294255338920687,0.9282852564102564,128,60_wikidata_occupation_isathlete,24,layer_24/width_16k/standard_new,l1,False,737
0.6562148479322909,0.6562297559922263,0.7103009583067552,0.9171122994652406,16,52_virtue_is,24,layer_24/width_16k/gated,l1,False,198
0.7284290117790424,0.7287842798531635,0.7932424266162335,0.8930481283422459,128,52_virtue_is,24,layer_24/width_16k/gated,l1,False,198
0.3351517141246965,0.5,0.749087648102044,0.9166666666666666,16,60_wikidata_occupation_isathlete,24,layer_24/width_16k/p_anneal,l1,False,53
0.6911498055135632,0.6927029804727647,0.7563030180759224,0.9187500000000001,128,60_wikidata_occupation_isathlete,24,layer_24/width_16k/p_anneal,l1,False,53
0.7805709402051806,0.7805907172995781,0.8586598034503018,0.9398148148148149,16,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/standard_new,l1,False,103
0.8098271441123205,0.8111814345991561,0.8990824565151597,0.9745370370370371,128,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/standard_new,l1,False,103
0.7325024425067789,0.7330342120022434,0.8114981403471687,0.8419312169312171,16,23_headline_ischina,24,layer_24/width_16k/gated,l1,False,74
0.8070655276730172,0.8070667414469994,0.8964860362468734,0.9404761904761906,128,23_headline_ischina,24,layer_24/width_16k/gated,l1,False,74
0.6991981058906687,0.7002382499458523,0.7654830806736956,0.8181818181818181,16,36_sciq_tf,24,layer_24/width_16k/jumprelu_32,l1,False,382
0.7590683429593501,0.7591509638293265,0.8321647340337297,0.875,128,36_sciq_tf,24,layer_24/width_16k/jumprelu_32,l1,False,382
0.7646763673461797,0.7659574468085106,0.8357018495907385,0.8861111111111111,16,22_headline_isobama,24,layer_24/width_16k/topk_32,l1,False,198
0.8276754435508202,0.8277282086479066,0.9027155971600417,0.8916666666666667,128,22_headline_isobama,24,layer_24/width_16k/topk_32,l1,False,198
0.7801213408981349,0.7801221543586896,0.8516080897767911,0.9263157894736842,16,61_wikidata_occupation_isactor,24,layer_24/width_16k/standard_new,l1,False,198
0.8500691427207372,0.8500832870627429,0.8992970773214946,0.9289473684210526,128,61_wikidata_occupation_isactor,24,layer_24/width_16k/standard_new,l1,False,198
